altitude,vertical_speed,rate_of_descent,flap_deployment,spoiler_deployment,brake_input,pitch_variability,roll_angle_variability,hard_landing
50,723,384,35,38,2,4.578972851689377,4.4939401572609174,1
3000,474,366,35,19,10,5.559328217584428,4.580546959974516,0
1500,462,420,30,29,27,3.1553015751759097,3.743190502287355,0
50,415,574,61,8,24,2.6844166936157263,5.328013680872414,1
100,735,586,14,43,18,4.5962410044141215,4.210682189797311,1
2500,730,293,44,14,21,5.45780127516533,5.2613092065226725,1
500,726,249,70,39,32,5.003371405405874,1.507681511610984,1
2000,538,166,69,46,25,5.741651391591647,4.457361619393929,0
2000,340,300,15,22,39,5.8114326221096855,4.204299519363438,0
1500,452,321,55,11,34,5.963281797499242,3.0175177275963434,0
2000,532,328,32,9,34,5.796445221422693,5.7335787322375165,0
3000,440,254,52,11,1,1.6784665772146496,1.754963072970698,0
1500,354,478,93,42,15,5.795528118659213,5.127445966553886,0
3000,527,169,34,11,22,2.592668383420607,3.6892087586816986,0
1500,400,195,53,37,22,2.148125330292719,1.3206820398632193,0
1000,635,218,58,44,21,2.138472084808357,5.523147771553199,0
3000,766,358,69,3,1,5.403366526405822,4.4183102679078115,1
100,680,458,43,18,23,1.8267356010409643,1.3113334188114218,0
2500,611,293,62,37,4,1.3060201210228968,1.6848209116414827,0
500,664,452,0,48,14,2.357261497670213,5.445710732208327,0
1500,338,246,74,48,6,4.545412544221463,3.1856864746522198,0
50,605,313,72,5,13,4.682370185399087,3.5133938154702458,0
1500,638,325,47,27,34,1.9055791547210323,1.3627436919021299,0
100,756,318,65,13,12,4.695699054369369,3.1801440411626274,1
1500,745,591,95,49,13,1.4189865530345842,4.99755406640779,1
1500,587,237,77,12,0,3.0180629176339995,2.1854280008898606,0
100,332,189,85,23,8,5.97693446274416,5.314642323751522,0
50,303,206,54,35,34,1.310179795283923,5.789342594920855,0
100,730,156,91,1,28,3.1726662736630047,5.099005942428269,1
2000,405,334,22,29,12,1.8918852400948274,1.8978522862623701,0
2500,637,164,52,14,34,4.771429104803442,3.032971075298757,0
2500,504,431,17,17,5,4.315366531454211,4.2200085791098765,0
100,685,159,48,38,25,4.461033902649591,4.845034512287067,0
2500,622,517,53,28,17,1.7447796465483114,3.4682743630120436,1
500,573,260,35,1,20,3.488833132678243,5.353457803458073,0
2500,410,336,17,0,6,4.6280288982155,4.424267532340002,0
1500,722,303,38,27,31,1.4729400757133362,3.7377207160623787,1
1500,674,491,12,35,39,2.869904863854232,4.7390558153081646,0
2500,265,359,60,8,1,5.381500523378008,4.800741727368612,0
1500,789,279,90,30,18,3.752132855973654,3.21191484797991,1
1000,721,235,84,32,33,4.065926585302172,3.1562478778906224,1
2500,607,531,36,20,38,5.260142401367068,2.8990741105174527,1
1000,741,345,12,49,13,3.0872409690140206,5.726694004122878,1
1000,299,187,87,35,31,2.5272176202083743,2.978815732852822,0
500,444,347,41,18,9,2.9043695613906504,5.225425178422872,0
2000,690,384,94,8,20,4.31698183509789,3.1051295016873834,0
100,787,465,13,37,6,4.20498456316426,3.423109941657649,1
3000,438,314,89,29,39,5.784142408207135,3.297475707726107,0
2000,795,288,14,31,29,3.038596325206725,2.872276603794249,1
2000,666,486,6,6,4,1.2563817085867548,5.042940933219217,0
500,428,576,58,30,14,5.666176426424103,5.621066648636663,1
1500,745,594,70,5,39,4.269782580447069,3.9360362822572847,1
1500,269,396,71,33,40,2.2065372699041093,4.141427375466943,0
100,642,582,80,42,35,4.232107029999782,3.870482789889175,1
100,339,352,51,39,20,1.659565238531583,3.1165076943147727,0
100,625,510,39,14,10,2.7073450031662034,2.291161813204129,1
3000,633,409,41,41,17,1.3802659809426308,1.3343603209679569,0
100,416,346,49,14,27,5.507747669302842,2.6250663347282512,0
3000,279,376,17,3,18,1.8965291210685478,5.330793963987428,0
2500,380,551,17,27,17,3.410784809328512,5.070473149240094,1
1500,351,502,89,20,28,1.4729687177706658,4.480152190644222,1
2500,433,550,55,23,0,3.9189771890839964,3.5375252711052783,1
1000,208,498,65,41,13,5.934178640530521,4.798243765940157,0
3000,550,415,47,9,38,2.460134927131052,4.497269969038386,0
2500,756,335,100,41,30,2.674731742276797,2.062494588553002,1
1500,374,475,69,37,33,1.930729319715517,3.312950764683892,0
1000,710,204,81,50,0,1.9532554042745396,1.7985018072030696,1
1500,640,311,18,22,31,1.531315699691438,1.178131156819275,0
100,268,151,87,18,16,4.7311847348146046,2.2287069189920174,0
50,327,417,3,50,13,2.19786388101549,2.5343181293318824,0
1500,456,168,14,44,34,1.6294105602615803,4.958658452928274,0
2500,648,264,52,1,14,3.2864139707084674,2.1376110357089084,0
2000,577,331,64,30,19,5.322872653762938,2.235540199656188,0
2500,780,324,22,4,25,5.434871203641169,1.5902315938164722,1
50,636,382,83,3,25,4.781239188170551,3.9255175591100424,0
1500,294,371,11,18,18,4.04096956843644,5.297784027619049,0
1000,716,155,90,13,6,5.35618720910313,5.894921069792,1
100,410,174,65,23,26,3.5021935209718498,2.8534458857428238,0
1000,650,476,16,42,25,1.4165581060565304,5.685762178613146,0
100,256,573,33,20,32,2.596845977279573,4.181742597820554,1
500,425,468,15,43,40,1.0586599644292651,3.045187008242157,0
50,632,534,89,16,10,3.8008746499237254,2.4331717194586346,1
3000,285,195,58,24,32,5.182021342339218,5.6010043948308645,0
2000,663,343,30,28,20,3.241016663866442,4.805032646766431,0
2000,556,304,85,26,9,4.652352761990079,5.461524871558446,0
50,270,181,22,45,18,1.8829851357046397,5.367881452465482,0
50,480,225,24,18,21,5.772437016557948,4.771294483195492,0
2500,750,277,21,4,39,2.455487668722637,3.948408865184983,1
1000,446,353,67,16,12,1.8417279269431865,5.244860135191807,0
100,238,428,14,14,1,3.419575468083211,2.620084305711277,0
100,792,222,33,37,28,5.6670908867715735,4.193324311542143,1
3000,408,196,13,49,37,4.631691618587818,2.3976341406765034,0
1000,271,541,1,11,10,2.692665841662005,5.625172158468791,1
2000,326,517,97,29,14,1.5862841992690737,1.5323167775165283,1
2500,275,184,27,48,27,4.735349396462939,1.160190436620253,0
2000,350,411,76,12,11,1.5469590127953055,2.1296704424191324,0
500,426,292,87,35,26,1.4367545871483762,4.134577205818943,0
100,503,249,33,21,9,2.1280948681404523,4.15414696686337,0
2000,548,460,45,40,9,3.557676095558992,3.1736588934503165,0
1500,208,353,5,31,7,3.870228634319776,3.3795458192070256,0
500,522,438,84,9,34,5.166622814998814,1.4403638395434373,0
500,201,371,32,35,31,1.8481200583152537,5.979640166521106,0
1500,444,308,13,3,27,4.710999782673806,4.8557063742478865,0
3000,538,186,30,40,31,4.138492288673459,5.299744223439389,0
3000,796,225,40,18,32,2.453478713937908,1.8917792819736636,1
50,448,460,91,25,17,2.923421790262911,2.703513487165083,0
2000,752,168,12,44,23,5.736185935960686,4.591000758881923,1
3000,456,540,3,14,30,2.1085853190799826,3.0541072812993235,1
500,526,280,9,23,6,2.50457670920799,1.9820648494222162,0
100,417,550,72,4,1,2.2921212870886816,1.2138408059204033,1
3000,204,219,11,10,37,5.088332465161047,3.156919902854554,0
2000,393,290,30,24,10,3.630939763397394,2.0690203036998094,0
3000,233,211,21,27,38,2.194833422392143,5.229402281421372,0
2000,298,419,70,49,37,3.122708468094898,4.81009867273797,0
50,708,537,21,24,37,1.70167236881759,4.432959466289557,1
100,590,231,50,35,2,2.3416459038804645,5.0029801266366185,0
2000,601,539,37,47,39,3.2798226490645632,5.592563421363421,1
2000,574,248,71,22,25,2.1126788603509064,2.7040217270174,0
2500,335,581,87,46,27,3.365511318449831,3.206457943011692,1
100,454,205,20,24,35,2.5080162632548815,4.156488631957177,0
2000,374,542,57,32,39,4.258259586309206,5.319259555289681,1
500,246,313,44,25,37,4.45380102582687,4.376291433108622,0
50,613,352,94,40,20,2.889585319069724,4.071636360071689,0
50,589,218,76,26,18,2.5577661137815424,2.7841035669038656,0
1500,693,509,30,10,0,3.8809211894297766,3.40190754806184,1
1000,602,334,32,28,4,2.661159421070013,5.1398219207023415,0
3000,706,586,83,5,19,4.784428784927961,3.938580037457317,1
2500,730,554,31,31,0,5.131426446864934,2.4079703228992626,1
3000,407,202,31,47,33,1.5738845484751298,1.505206286389566,0
50,425,446,65,48,36,4.552218250603367,4.389746591461419,0
3000,277,442,99,7,13,3.5255380769998297,3.233839991433415,0
100,569,296,6,20,23,5.193592802547626,5.85539906975882,0
500,646,536,70,14,33,2.2598857023460535,2.2684872389636825,1
2500,328,151,53,2,38,3.5759913732770006,5.181693866777529,0
3000,384,379,99,13,20,3.9072184336954,2.9476370174243876,0
2000,370,542,64,43,38,5.4475936364111295,1.9810423545971863,1
100,355,460,97,23,9,5.083665002698369,1.06537422667229,0
2500,403,573,66,7,29,2.364003654600068,4.536284041897797,1
2500,745,538,59,24,17,2.827601247662893,2.535982560334559,1
1000,318,574,49,15,24,3.5517792109317448,2.0443349804646473,1
50,440,492,5,8,14,3.041639114488121,1.3690342347475477,0
1500,672,465,66,38,22,1.1333642681734293,5.489384805114234,0
50,342,537,53,46,27,5.88893855824755,2.4100104321410485,1
3000,448,323,39,36,16,1.2154108927156688,2.177901462575387,0
50,730,407,61,0,17,5.3794052907586085,5.466020896835078,1
500,340,359,50,32,17,2.4222383074869507,4.269647158745137,0
500,721,355,67,24,24,3.37993933760123,4.273873616814887,1
50,439,323,82,36,26,2.692307410600156,2.5955636332273055,0
1000,431,479,50,30,16,2.913152838898888,4.495760362988297,0
3000,522,233,4,29,16,2.3317389856207065,1.3418102706982546,0
100,549,305,80,27,4,3.4104899014122774,2.6255121234582983,0
2500,296,262,92,31,23,1.4686130206844585,2.3166270372897837,0
1500,221,246,90,15,15,2.8048412525422606,5.727338859050542,0
50,208,237,14,43,16,1.4029870859364642,3.5994508299601016,0
1000,231,490,31,49,1,2.469236527293503,3.7456873920567624,0
500,758,416,28,23,29,4.2993463780700925,1.5909136357541929,1
1000,728,550,32,4,29,1.1743337408429229,3.6218926691916087,1
50,237,548,49,14,19,3.874923924152159,4.105657932526667,1
3000,536,388,39,6,28,3.7492999326565597,4.117665004875587,0
50,337,446,82,42,17,3.1616806028815057,3.4035781390668447,0
1000,701,227,24,1,1,3.489412593321793,1.4053713402692039,1
2000,218,578,66,26,33,1.6561775218297878,4.18028994844436,1
100,309,470,25,49,0,2.5628991762420115,1.3738530074401365,0
500,484,266,86,20,5,1.9004028540022109,3.6903043281467127,0
1000,398,197,75,44,22,1.5840642285253506,2.8987484913454074,0
1500,382,565,98,47,22,1.648731296325723,3.2994516200823933,1
1000,334,292,74,6,0,5.534263247290118,4.467526184818349,0
2500,788,298,62,28,6,3.5405819914842964,3.576630353799154,1
3000,361,588,34,20,15,1.7661414934604482,1.7392833067068372,1
500,758,493,4,13,0,5.975407851818846,4.1417136424717835,1
500,695,425,77,10,23,2.115409060047007,3.29618698228542,0
100,279,470,48,36,38,4.964013419505128,2.147211054578457,0
2000,242,223,58,18,18,5.08342208235054,1.0818302411606975,0
100,217,367,19,4,29,1.797840561991598,1.9791174963886062,0
2500,569,230,60,33,37,4.720625282032795,3.1223665186251073,0
500,542,352,25,32,26,5.985688087581279,5.144786962411183,0
3000,708,385,94,20,7,3.752438993408861,2.131154754891301,1
500,343,413,21,21,34,1.3931245596361777,1.3739370369711699,0
500,297,240,10,10,32,1.2863889298407118,1.454322425308058,0
2500,321,208,47,29,23,1.1419492951005108,5.696164497167163,0
2500,387,163,69,3,11,1.1906489081186442,3.786423713708968,0
1500,210,400,42,21,13,2.0703043029325454,2.377986790016106,0
1500,387,354,31,21,32,4.175404146279437,2.0344522829815817,0
100,392,207,54,15,28,5.42954844091045,3.1833674306392563,0
2500,278,447,33,29,2,2.641697458263656,5.864590710606981,0
1000,555,205,21,33,34,4.765218140988557,5.812017989804809,0
2500,369,596,31,13,23,4.639970391777481,1.0489269751039423,1
50,677,548,30,35,32,3.25835161932632,1.5327169029823104,1
500,634,590,76,29,36,5.700064518753777,5.1990130729455775,1
1500,713,218,59,50,13,1.0593062430838347,2.1977034012275083,1
100,204,347,55,18,22,3.3957588235462666,4.106948532205106,0
1000,204,574,56,18,38,2.379439291294276,3.9148285886192085,1
1000,748,242,86,20,23,2.1169438580136974,3.3568760142019918,1
2500,323,301,43,24,30,4.253171554328567,5.023010604930049,0
2000,590,257,84,36,35,5.029564167421986,5.7618190118911645,0
2000,688,400,18,17,10,2.3500777286522574,3.9313832387151266,0
2500,441,321,4,33,35,2.92101202436409,3.6360337761003305,0
1500,215,188,5,1,7,1.2942184749087684,5.883202022631013,0
1500,442,197,88,6,35,1.0094351476112813,2.468498883071066,0
1500,648,471,12,50,23,4.636987470568151,5.0201960645423895,0
100,462,469,0,3,10,3.8667308770734614,5.753166389057574,0
1000,690,402,63,47,34,5.776296027592889,1.5365821772423918,0
3000,458,233,65,29,11,1.3996506078729067,3.615020242924457,0
100,221,263,64,39,29,5.750626844260526,1.4572766202649436,0
100,542,209,21,14,12,1.4073013617757282,5.270791761104611,0
1500,419,525,46,36,33,3.2561646260720325,1.9771688158543652,1
50,672,477,74,15,39,3.9385184504697266,2.6677509139184137,0
2500,640,545,26,28,31,5.654950502084769,3.471863326340097,1
1500,624,213,20,27,24,5.016533173462115,2.2088861298071008,0
2500,297,204,95,39,39,3.9270163175484774,1.9053464866127676,0
100,258,253,93,15,16,4.214467759364146,2.9928008705896403,0
1500,719,225,61,33,10,3.213956748463517,2.2507884238835625,1
2000,408,442,77,33,31,2.5028109156760996,2.19897451258013,0
50,675,268,56,9,19,2.5799902828708943,1.6111113257598548,0
2000,544,460,17,10,9,1.033501050396068,1.504878988127414,0
3000,595,344,85,25,0,5.7763543676662925,3.3680968990952866,0
2000,703,176,49,26,35,3.1473301120079573,4.722299066345332,1
50,447,395,41,2,25,4.544178776245991,2.690904393854283,0
2500,393,342,82,21,14,1.119105003480603,2.5659628721589867,0
1500,603,402,9,46,38,2.0916710774832685,1.674609381813186,0
2000,769,470,64,38,36,3.7662462990854424,3.3325070246418433,1
2500,430,583,24,33,12,2.065340424622426,4.001051241754073,1
1000,766,497,18,49,33,4.044368468230816,1.8869614437815527,1
500,530,370,100,23,36,1.5251972105702056,1.5590290438727141,0
500,655,567,57,15,37,3.9899607029726525,2.551955506297728,1
100,375,221,27,4,36,2.211529444317617,2.590906715221345,0
500,721,437,88,40,5,5.258830967491678,5.009855070410932,1
3000,293,365,35,48,30,3.2363742911692115,1.1330613838657153,0
1500,391,386,96,4,25,2.0856284475322036,4.915554061780191,0
1000,538,403,94,21,6,2.261341334000533,3.498735364625097,0
2000,366,423,7,22,9,3.458870003399187,5.423263811101888,0
100,358,507,6,4,9,2.6497327531887813,2.1499335482315844,1
1000,467,260,69,1,23,2.3786407440857102,4.014674415589422,0
100,714,337,73,45,11,3.157522903165849,1.0206974652884384,1
50,706,495,51,39,31,4.371786733804861,5.99635074730496,1
50,493,355,79,27,37,5.7244924243030235,5.447268971709185,0
2500,247,187,77,41,11,4.326671197502816,2.8025798332810883,0
3000,778,322,14,2,20,1.6725655228813676,5.508821056236979,1
50,654,327,14,40,3,4.268805219791667,5.810251095250091,0
2000,555,383,11,48,18,5.783103087354845,1.1218573157258862,0
500,359,441,0,24,13,4.193154677204879,1.2871053411124898,0
1500,355,167,42,0,11,2.885308328749185,3.9569174670310416,0
1500,568,426,22,15,1,1.9668755413402608,4.738132169779481,0
1000,294,473,74,48,10,2.9343479947038302,5.4040866486679855,0
3000,228,293,40,43,3,3.6564470440242767,2.379498136680623,0
1500,420,555,49,29,35,2.598064606989052,5.968027220944328,1
50,546,330,5,38,6,5.44461656926137,3.8977246876143106,0
2000,744,486,96,7,36,5.0627592015078235,2.4261918331375356,1
2500,709,440,59,32,20,4.023564149377415,4.737838041053347,1
1500,786,410,0,9,7,4.820155133089883,5.9275497655783385,1
2500,221,470,99,28,9,1.275342258824633,1.2658011545418182,0
500,397,175,39,4,5,3.2576415155857843,4.324747753102665,0
100,347,519,54,29,16,4.678653948451719,1.0867872786930208,1
100,766,176,34,34,28,1.93802926090091,2.3389816333017017,1
50,217,571,56,6,35,2.7204413788300594,3.763654388292114,1
1500,405,550,1,31,39,2.4735241863958235,4.933499816727686,1
2000,213,530,12,35,39,4.31857094534494,4.206113399981148,1
2000,649,301,70,3,23,1.5351788412454068,2.6686033252014614,0
3000,747,510,4,9,12,1.3554405557705653,2.217224784768902,1
1500,475,168,47,20,7,5.148496105276113,1.3839253352621048,0
1000,369,364,69,2,19,4.679763482270372,1.2239484238698608,0
500,593,233,64,46,3,2.656940471949712,5.961388266728624,0
1500,464,344,97,47,34,5.06503657391709,1.0986799103670348,0
1000,642,296,39,38,3,4.809539891006553,2.027422449257575,0
500,768,249,73,11,18,4.964333281529502,5.058274355712602,1
3000,774,470,41,25,14,5.527098263870241,2.258935371044589,1
2500,493,560,93,47,7,2.7241233551162742,3.5682496353135633,1
500,250,539,44,16,8,2.184894904814034,3.5506338087111216,1
2000,335,320,81,9,8,2.1844669875402487,1.9053055616759624,0
500,721,306,8,50,34,2.533924134100789,1.36362532455248,1
3000,228,328,51,7,26,3.812875509866115,4.781993080455243,0
500,550,207,97,32,9,1.5736755779960079,1.786057802017338,0
50,268,527,53,25,29,3.1343165968658324,2.427332418625689,1
500,440,165,89,50,31,5.369542583903235,2.2847682474962614,0
2000,647,292,85,5,16,1.073721673562751,4.361167318622137,0
50,645,248,24,36,4,5.9676940119951905,3.646309543532646,0
50,532,399,62,44,7,2.48556039667349,5.688007714281621,0
500,327,296,77,30,0,1.7723696799409203,3.8369760642742654,0
500,396,324,88,26,8,5.386896392878738,4.831208592594729,0
50,422,482,25,17,14,2.782779027339555,5.787114860523759,0
2500,738,449,27,33,0,2.1250196980703024,3.1481466782695477,1
1500,603,329,91,27,20,5.830656455209301,2.69191878045704,0
100,350,233,98,47,33,4.861638012416666,1.5814261170506763,0
3000,508,464,40,44,39,4.655461889568128,2.4856617124489153,0
3000,637,277,10,12,19,5.621456169895539,1.5634411971499116,0
1000,371,318,87,6,4,3.999220540895224,1.1922663526550006,0
2000,429,303,1,16,20,5.977557804133294,2.864656474094948,0
50,755,534,58,15,15,3.5840276814348146,5.814510321037303,1
1000,759,254,43,20,24,1.2193305581373495,2.3786603862242797,1
50,682,313,85,6,13,1.622923370142795,1.9192006569864546,0
2500,489,221,94,35,38,2.9580943451743096,5.461744746799031,0
2500,561,195,68,18,11,3.8159679818387633,1.5888599273951767,0
3000,244,170,86,30,2,3.936052520298624,3.513919792216992,0
100,367,326,54,22,27,2.691890496787048,4.2661630317414545,0
50,568,322,8,8,29,5.005232802504672,5.178399215773142,0
1500,306,294,44,5,11,5.43029902783412,3.0379439755161926,0
3000,648,450,14,21,8,1.568553738664101,2.705014504091478,0
500,531,506,58,0,31,2.5647321604143585,1.2796654588227603,1
2500,450,211,51,10,22,4.136163030020463,1.9270991551505374,0
1500,565,372,48,42,36,5.440152009808303,3.690255638776495,0
1500,247,244,46,49,16,2.3778924054165964,2.6855313868191963,0
1500,449,378,51,2,4,3.023028990489821,4.5031667850986015,0
1000,243,532,100,34,38,3.7141401735958324,3.0263007552554253,1
1500,565,370,0,9,34,1.5205598974956875,1.4960507510117669,0
2500,555,506,73,48,27,3.727288230977692,1.4401063156443585,1
1000,575,427,94,19,8,1.5148411772441746,5.330017986514934,0
2000,217,554,23,41,27,4.948429690379189,4.6097394650520345,1
100,288,208,29,50,31,4.5376891375772335,2.515928919351117,0
2500,590,554,5,26,16,2.1160766646852585,4.21925181254762,1
2000,347,319,76,34,15,1.5155333190446565,4.903151021184337,0
100,781,564,92,25,6,5.852921275612793,4.694449481160147,1
3000,433,520,60,34,34,2.9435257279475278,5.36131916990163,1
500,505,237,83,44,6,4.171142181115171,2.5676090146796673,0
500,562,214,92,23,3,1.3825435840079732,5.96735714512494,0
3000,259,450,92,46,18,1.539099885134855,1.813290173971644,0
50,721,302,82,4,34,3.33102799387711,1.140878349289944,1
2000,481,367,80,20,13,4.007701342590243,2.535824465889947,0
100,470,305,56,9,6,4.9463492208364315,1.4114176358860084,0
3000,695,457,44,20,24,2.0188606505649482,3.5828248575863872,0
1500,427,560,10,8,17,3.9821555218342843,2.7099501437256577,1
500,663,543,60,10,16,5.495378382285776,2.6561016309807104,1
2000,409,590,57,12,35,4.2436580032195605,5.16626126570855,1
2500,253,335,48,10,16,5.992958735903458,1.2175849622658865,0
100,234,283,81,11,17,1.5109264288314415,2.1829903244002105,0
100,702,517,6,15,3,4.686828716757589,3.1912732900021616,1
1500,297,388,53,47,36,1.5146966330524816,3.284443067451669,0
500,525,393,5,23,23,4.722145648638911,3.829349576071491,0
2500,293,468,84,14,4,3.5957839476728966,2.8985121087864205,0
1000,372,301,29,31,24,2.5446999801898,4.567906513194092,0
100,358,308,30,9,0,5.01795285590756,3.249399060209099,0
50,394,260,17,28,20,4.396617567414974,2.906983345323221,0
3000,273,193,33,5,36,2.6072116449877916,2.3351025759855943,0
2500,689,385,96,19,28,1.8008744102561316,2.448573259386386,0
500,580,385,31,32,22,2.2259531799073926,1.7714864172991702,0
50,359,590,38,9,27,3.4060027461172746,1.135011895610898,1
1000,352,491,34,32,22,2.5776858503391002,4.777072853798755,0
100,611,397,51,19,31,1.10612952081396,3.2610368078999166,0
2500,304,588,27,34,39,4.816875783056953,4.458749292612106,1
50,584,293,21,28,7,2.936171472958421,5.785590647928689,0
2500,316,295,74,15,21,1.226623830571508,5.365147197835039,0
3000,779,400,62,29,31,2.491444297949871,3.640440527499239,1
100,210,467,23,49,11,3.8210582044817025,1.4445330836809807,0
2500,226,449,8,26,40,2.6734868140418135,1.4173613616040068,0
1000,593,239,13,31,33,4.1700697198710355,3.8436684298521193,0
50,517,537,11,3,30,5.485374096454174,5.4698129722944975,1
500,256,304,32,29,14,2.8061301063310955,1.5631324892878613,0
2000,205,507,97,50,18,5.839082102733651,2.089159787362517,1
500,438,302,54,47,24,1.3927856887797176,2.9182241353562435,0
3000,664,431,79,22,13,3.29357617401507,2.803724010002456,0
2000,247,556,15,50,36,3.4117190929206718,3.301982454709688,1
500,426,256,81,35,36,2.7149415007583846,5.569898436941553,0
2500,690,486,88,12,37,5.170446873095185,5.22947311338543,0
500,681,362,94,9,18,2.9815146168282527,5.504184086330525,0
3000,769,188,74,34,3,3.8023055250988893,5.419002730858014,1
100,762,248,24,43,8,4.088591702568257,4.215883548773817,1
50,499,226,24,37,19,2.7434301290353824,3.7319785329483914,0
1000,574,548,93,21,13,2.8651407748825104,5.8821264961588815,1
1000,720,276,13,2,3,2.600135086585222,4.374877000572058,1
1500,498,396,7,35,36,4.357561356249432,5.047102791062339,0
2000,517,205,9,29,38,2.698938465728893,5.290099245358835,0
1000,334,433,3,14,7,4.662970072294995,4.999125328229448,0
50,451,312,55,44,13,2.1589361081649936,2.6246833935700415,0
2000,613,260,59,29,2,5.852681971540478,3.323376062844728,0
100,514,574,59,21,3,5.3502252758668,5.132830060575043,1
1500,357,182,11,11,20,5.97885375107651,1.7843755729029138,0
2000,570,246,60,46,19,1.9571023087897346,1.6174392233260728,0
1500,414,213,33,6,26,1.3483001727998314,1.1754244302399655,0
2000,744,328,72,36,15,2.891873384508229,1.1594471871585479,1
2000,781,549,55,31,18,3.4642422848445027,5.610372315833441,1
3000,790,561,17,42,28,4.829773113694712,2.207603190246298,1
2500,250,409,41,9,15,2.0946115588187166,1.7613283320726594,0
1000,556,292,47,22,31,5.965244001071401,1.8160943122007203,0
2000,602,587,8,30,3,4.293166219804851,5.791017116339476,1
500,381,444,23,45,25,5.0269899191817204,1.1084961158505238,0
2500,591,480,7,28,14,4.804684920321156,3.1537833941497766,0
2000,362,480,76,29,34,1.9088030196536023,5.939813182250003,0
1000,295,496,65,38,11,4.252044770409198,2.825807489714284,0
